ID,year,month,day,Value
0,2019,8,15,0
1,2019,8,15,.
2,2019,8,15,0
3,2019,8,15,0
4,2019,8,15,1
5,2019,8,15,.
6,2019,8,15,0
7,2019,8,15,0
8,2019,8,15,2
9,2019,8,15,.
10,2019,8,15,0
11,2019,8,15,0
12,2019,8,15,3
13,2019,8,15,.
14,2019,8,15,0
15,2019,8,15,0
16,2019,8,15,4
17,2019,8,15,.
18,2019,8,15,0
19,2019,8,15,0
20,2019,8,15,5
21,2019,8,15,.
22,2019,8,15,0
23,2019,8,15,0
24,2019,8,15,6
25,2019,8,15,.
26,2019,8,15,0
27,2019,8,15,0
28,2019,8,15,7
29,2019,8,15,.
30,2019,8,15,0
31,2019,8,15,0
32,2019,8,15,8
33,2019,8,15,.
34,2019,8,15,0
35,2019,8,15,0
36,2019,8,15,9
37,2019,8,15,.
38,2019,8,15,0
39,2019,8,15,0
40,2019,8,15,1
41,2019,8,15,0
42,2019,8,15,.
43,2019,8,15,0
44,2019,8,15,0
